date,year,month,county,population,deaths,death_rate,display_name,mortality_factor
1985-01-15,85,1,Rest of State,11397059,5324.128512202389,46.71493331922199,,
1985-01-15,85,1,Kings,2736074,1578.8099259303065,57.70348045887307,Brooklyn,1.2611200000000002
1985-01-15,85,1,Queens,2405464,1042.194013046729,43.32611142992491,Queens,0.9469000000000001
1985-01-15,85,1,New York,1694251,666.3456142637439,39.32980498543273,Manhattan,0.8595600000000001
1985-01-15,85,1,Bronx,1472654,1040.6534062560306,70.66516685222942,Bronx,1.5444000000000002
1985-01-15,85,1,Richmond,495747,295.2908281079287,59.564824014654384,Staten Island,1.3018
1985-02-15,85,2,Rest of State,11397059,4958.542491654847,43.507210866021204,,
1985-02-15,85,2,Kings,2736074,1442.976455915335,52.73894112203599,Brooklyn,1.2376
1985-02-15,85,2,Queens,2405464,954.0760890972462,39.66287124219054,Queens,0.9307500000000002
1985-02-15,85,2,New York,1694251,611.0168637757652,36.06412885550991,Manhattan,0.8463
1985-02-15,85,2,Bronx,1472654,948.8632308491095,64.43219051108471,Bronx,1.5120000000000002
1985-02-15,85,2,Richmond,495747,269.6696174806865,54.396621155687576,Staten Island,1.2765
1985-03-15,85,3,Rest of State,11397059,4784.212120745604,41.97760247398565,,
1985-03-15,85,3,Kings,2736074,1326.0975092102015,48.46716533288944,Brooklyn,1.1788
1985-03-15,85,3,Queens,2405464,880.6012792280322,36.608374900976784,Queens,0.890375
1985-03-15,85,3,New York,1694251,566.4426031621297,33.43321639840435,Manhattan,0.81315
1985-03-15,85,3,Bronx,1472654,866.4586627619422,58.83654020305803,Bronx,1.4310000000000003
1985-03-15,85,3,Richmond,495747,247.29645326818365,49.88360056000009,Staten Island,1.2132500000000002
1985-04-15,85,4,Rest of State,11397059,4529.204587894541,39.74011705909868,,
1985-04-15,85,4,Kings,2736074,1167.7437678771084,42.67953892610757,Brooklyn,1.0964800000000001
1985-04-15,85,4,Queens,2405464,780.7388655963697,32.456892541163356,Queens,0.83385
1985-04-15,85,4,New York,1694251,505.6440203470908,29.844693634360603,Manhattan,0.76674
1985-04-15,85,4,Bronx,1472654,755.2718740189126,51.286444339193906,Bronx,1.3176
1985-04-15,85,4,Richmond,495747,217.02801310544632,43.77797810283195,Staten Island,1.1246999999999998
1985-05-15,85,5,Rest of State,11397059,4539.923931089607,39.83417064954746,,
1985-05-15,85,5,Kings,2736074,1132.8456008988292,41.40405562491472,Brooklyn,1.0612000000000001
1985-05-15,85,5,Queens,2405464,759.8509552714736,31.588539893819803,Queens,0.8096249999999999
1985-05-15,85,5,New York,1694251,493.69278239341173,29.139294141978475,Manhattan,0.74685
1985-05-15,85,5,Bronx,1472654,729.1350667153152,49.51163455335165,Bronx,1.269
1985-05-15,85,5,Richmond,495747,210.20129422777595,42.40092108026391,Staten Island,1.0867499999999999
1985-06-15,85,6,Rest of State,11397059,4226.242098644495,37.081865581677654,,
1985-06-15,85,6,Kings,2736074,1019.513012639286,37.26189469434255,Brooklyn,1.0259200000000002
1985-06-15,85,6,Queens,2405464,686.1849624906789,28.526095692584835,Queens,0.7854
1985-06-15,85,6,New York,1694251,447.3420292688071,26.403527533335208,Manhattan,0.72696
1985-06-15,85,6,Bronx,1472654,652.7612390803819,44.325499342030234,Bronx,1.2204000000000002
1985-06-15,85,6,Richmond,495747,188.8444436942179,38.092907005835215,Staten Island,1.0488
1985-07-15,85,7,Rest of State,11397059,4476.736223834477,39.27974948479671,,
1985-07-15,85,7,Kings,2736074,1055.1822304650584,38.56555891635454,Brooklyn,1.0024000000000002
